cas_id	old_sev	status	anchor	audit
CAS-001	Med-High	🔴 still-present	`ContentAddressedMetadataStorage.cpp:1886, 1923`	jepsen-anomaly
CAS-002	High	🔴 still-present (narrower)	`Backend/CasRequestControl.cpp:299-368`, `Pool/CasRefLedger.cpp:145-165`	jepsen-anomaly
CAS-020	Med	✅ fixed	`Pool/CasRefLedger.cpp:2925-2933` (`OwnerTransition` with `old_binding`)	jepsen-anomaly
CAS-029	Med	🔴 still-present (bounded further by boot-clock)	`Pool/CasServerRoot.cpp:806-830`, `Pool/CasMountRuntime.cpp:133`	jepsen-anomaly
CAS-030	Med	✅ fixed (local-fence side)	`Pool/CasMountRuntime.cpp:61-84`	jepsen-anomaly
CAS-035	Med	✅ fixed for `dropRef`	`Pool/CasRefLedger.cpp:2810-2820`, `:1398`	jepsen-anomaly
CAS-045	Med	🔴 still-present	out-of-CAS (RMT integration)	jepsen-anomaly
CAS-051	Med	🔴 still-present	out-of-CAS (S3 backend)	jepsen-anomaly
CAS-007	FEATURE-GAP / PERF	🚫 not-a-bug (fenced upstream: UNIQUE KEY blocked on non-local disks)	`src/Storages/MergeTree/MergeTreeData.cpp:4523-4531`, `:7340-7345`	mergetree-part-support
CAS-041	FEATURE-GAP / PERF	🔴 still-present (unverified)	`src/Storages/MergeTree/MergeTreeData.cpp:6740-6763`	mergetree-part-support
CAS-042	FEATURE-GAP	🔴 still-present	`src/Storages/MergeTree/DataPartStorageOnDiskBase.cpp:422-427`	mergetree-part-support
CAS-055	CONFIG / FEATURE-GAP	🔴 still-present (no engine/tmp/dict DDL gate)	`src/Disks/DiskObjectStorage/MetadataStorages/ContentAddressed/ContentAddressedTransaction.cpp:531-534, 1188-1191, 1603-1607`	mergetree-part-support
CAS-073	DECODE / STRUCTURAL	🔴 still-present (Ordinary-DB grammar heuristic)	`src/Disks/DiskObjectStorage/MetadataStorages/ContentAddressed/Parts/PartPathParser.cpp:136-168`	mergetree-part-support
CAS-105	TEST-GAP / FEATURE-GAP	🔴 still-present (Packed on RESTORE/ATTACH)	`src/Storages/MergeTree/MergeTreeData.cpp:5147-5168`, `:7588-7591`	mergetree-part-support
CAS-110	PERF / TEST-GAP	✅ fixed (FETCH-to-detached now relinks)	`src/Storages/MergeTree/DataPartsExchange.cpp:700-704, 1388-1449`	mergetree-part-support
CAS-111	CORRECTNESS	✅ fixed (unlink now stages content_removed)	`src/Disks/DiskObjectStorage/MetadataStorages/ContentAddressed/ContentAddressedTransaction.cpp:1509-1569`	mergetree-part-support
CAS-203		INFO	`PartPathParser.{h,cpp}`, `PartFolderAccess.cpp:73-80`, `DataPartsExchange.cpp:1388-`, `MergeTreeData.cpp:5167, 6744-6756`	mergetree-part-support
CAS-006	Med (Liveness/Perf)	🔴 still-present	`ContentAddressedTransaction.cpp:435, 485-500`; `:480-484` "serially"	performance
CAS-049	Med (Perf/Scale)	🟡 mitigated, residual cliff	`Pool/CasManifestReader.cpp:37-40` (bytes+count LRU; count cap = fixed 16384)	performance
CAS-050	Med (Perf/Scale)	🔴 still-present	`Gc/CasGc.cpp:2756-2769` per-blob synchronous HEAD; `:2776-2777` "no bounded-pool async"	performance
CAS-053	Med (Liveness)	🔴 still-present	`Backend/CasRequestControl.cpp:46-56` lumps 429/5xx with `PreconditionFailed`	performance
CAS-083	Med (Liveness)	🔴 still-present	`Pool/CasRefLedger.cpp:1131-1206` leader convoy + batch-wide failure	performance
CAS-086	Low (Perf)	🟡 mitigated at view layer, reader-level unchanged	`Pool/CasManifestReader.cpp:63-92`; `Parts/PartFolderAccess.h:381-389` (view single-flight)	performance
CAS-089	Med (Perf/Scale)	🔴 still-present	`Gc/CasGc.cpp:1362, 2599` full `vector<BlobDelta>` materialized before flush	performance
CAS-100	Med (Scale)	🔴 still-present	`Pool/CasPool.h:173-183` bounded per-table backoff; no per-tenant quota anywhere	performance
CAS-109	Med (Perf)	🔴 still-present	no CAS-side gating for `SystemLog`; standard write path per flush	performance
CAS-116	Med (Perf/Scale)	✅ fixed	`Formats/CasPartManifestFormat.cpp:329-336, 338-351` `std::lower_bound`	performance
CAS-001	Med-High	🔴 still-present	`ContentAddressedMetadataStorage.cpp:1886-1932`; `Pool/CasManifestReader.cpp:144-168`	read-protocol
CAS-005	High	🔴 still-present	`ContentAddressedMetadataStorage.cpp:1923-1933`; `Pool/CasPartWriteTxn.cpp:77`	read-protocol
CAS-024	Med	🔴 still-present (📐 defused by mount-time pool-meta identity check)	`Pool/CasManifestReader.cpp:151-160`; `Formats/CasPoolMetaFormat.cpp:38-46`; `Pool/CasPool.cpp:118-125`	read-protocol
CAS-034	Med	🔴 still-present	`Parts/PartFolderAccess.cpp:264-303`	read-protocol
CAS-049	Med (perf)	✅ fixed	`Pool/CasManifestReader.cpp:37-40` (LRU `CacheBase`, `max_count=16384`, per-entry eviction)	read-protocol
CAS-085	Low	✅ fixed (retired by design)	`Pool/CasRefLedger.cpp:174-181` (`allow_stale` no-op)	read-protocol
CAS-086	Low	🔴 still-present (partly masked by CAS-034 single-flight on `CachedForLoad`)	`Pool/CasManifestReader.cpp:56-137`	read-protocol
CAS-087	Low	✅ fixed for owning mount (out-of-scope for cross-node under CAS-058)	`Pool/CasRefLedger.cpp:174-181`	read-protocol
CAS-095	Med	🔴 still-present (structural trust, EOF-guarded downstream)	`ContentAddressedMetadataStorage.cpp:1909-1918`; `Pool/CasManifestReader.cpp:156-160`	read-protocol
CAS-098	Test-gap	⚪ info (code correct; explicit coverage still absent)	`Parts/PartFolderAccess.cpp:85-108`; `ContentAddressedMetadataStorage.cpp:1826-1830`; `Pool/CasManifestReader.cpp:149-165`	read-protocol
CAS-002	High	🟡 mitigated (in-process fence-generation gate; store-side CAS still ETag-only)	`Pool/CasPlainObjects.cpp:21-57`, `Pool/CasMountRuntime.{h,cpp}`, `Pool/CasPartWriteTxn.cpp:676-747`	security
CAS-003	High	✅ largely fixed (pluggable `sha256` / `xxh3-128` / `cityhash128`; algo pinned per-blob)	`Primitives/CasBlobDigest.{h,cpp}`, `Primitives/CasBlobHashingWriteBuffer.cpp:201-218`	security
CAS-004	High	🔴 still-present · 📐 by-design (architectural)	`Pool/CasServerRoot.h:305-329`; single-credential bucket assumption pool-wide	security
CAS-026	Med	✅ fixed (protobuf removed; text formats with fail-closed per-format decompressed caps)	`Formats/README.md:9-13`, `Formats/CasFormat.cpp:93-109`	security
CAS-030	Med	✅ largely fixed (wall-clock never trusted; observation-based reclaim on monotonic clock)	`Pool/CasServerRoot.h:305-421`, `Pool/CasServerRoot.cpp:376-421`	security
CAS-074	Low	🔴 still-present (mountpoint + `checkNamespace` don't reject `..`/`.`)	`Formats/CasLayout.cpp:260-284`, `Formats/CasLayout.h:229-235`	security
CAS-211		Info	`Formats/CasBlobEnvelopeFormat.h:35-44`	security
CAS-010	High	🔴 still-present	`src/Disks/fuzzers/` absent; no `LLVMFuzzerTestOneInput` for envelope / run-file / manifest / root-shard / gc-formats / pool-meta in `src/`. Only unit tests: `src/Disks/tests/gtest_cas_envelope.cpp`, `gtest_cas_blob_envelope_format.cpp`, `gtest_cas_part_manifest_format.cpp`, `gtest_cas_gc_state_format.cpp`, `gtest_cas_gc_outcomes_format.cpp`, `gtest_cas_fold_seal_format.cpp`, `gtest_cas_record_stream_format.cpp`, `gtest_cas_server_root_format.cpp`, `gtest_cas_ref_decode_bounds.cpp`.	test-coverage-fuzzing
CAS-012	High	🔴 still-present	Only mock: `src/Disks/tests/gtest_cas_backend_generation.cpp`, `gtest_cas_backend_contract.cpp`. No `conditional`/`IfNoneMatch` string in `tests/integration/test_cas*/*.py` or `test_content_addressed_*/*.py`. No GCS integration test file.	test-coverage-fuzzing
CAS-098	Med	🔴 still-present	`src/Disks/tests/gtest_cas_part_write.cpp` is the only file mentioning `wide_part`; no dedicated wide/compact/packed read-branch gtest; stateless tests do not toggle `min_bytes_for_wide_part`.	test-coverage-fuzzing
CAS-103	Med	🔴 still-present	No `MOVE PART`/`MOVE PARTITION` grep hits in `tests/integration/test_c*a*s*/**` or `tests/queries/0_stateless/*content_addressed*` (only `04280_content_addressed_clone_partition_works.sql`, which does CLONE, not MOVE). No `ca-soak` MOVE scenario.	test-coverage-fuzzing
CAS-105	Med	🔴 still-present	`tests/queries/0_stateless/05005_content_addressed_backup_restore.sh` — no `Packed`/`packed` inside. `04284_content_addressed_backup_pointer_holding.sh` — pointer-holding only. No RESTORE + packed-placement crossover test.	test-coverage-fuzzing
CAS-110	Med	🟡 partial-fix	SYNC REPLICA covered (`tests/integration/test_cas_replicated_relink/test.py` lines 284, 309, 313, 318, 355, 519, 551, 557, 616, 684, 798, 868). Quorum + cloneReplica still uncovered (`rg 'quorum\	test-coverage-fuzzing
CAS-117	Med	🔴 still-present	`04294_content_addressed_patch_parts.sh:75` and `04293_content_addressed_lightweight_delete.sh` use FINAL single-node; `test_cas_replicated_relink/test.py:312, 758` uses FINAL replicated. No FINAL-under-concurrent-merge, no `parallel_replicas` on CAS, no patch-apply-vs-GC race test.	test-coverage-fuzzing
CAS-041	Med	🔴 still-present	`ContentAddressedTransaction.cpp:1119` (`createHardLink` requires two part-file paths; no cross-disk relink hook)	tier3
CAS-043	Med	🔴 still-present	`Gc/CasGc.cpp:1963` (deferred `mf_cleanup`; LC-1 reclaim model)	tier3
CAS-103	Low	🔴 still-present	`ContentAddressedMetadataStorage.cpp:1793`/`:1830` (no reader pin); `Gc/CasGc.cpp` grep — no reader-pin API	tier3
CAS-103	TIER-4 (`move_factor` inert on CAS source)	Info	absence in `.../ContentAddressed/` — no `IReservation`/`getAvailableSpace` override	tier3
CAS-042	Med	🔴 still-present	`MergeTree/DataPartStorageOnDiskBase.cpp:417-427`	tier4
CAS-105	Low–Med	🔴 still-present	`MergeTree/MergeTreeData.cpp:5147-5168` + no CAS BACKUP/RESTORE test	tier4
CAS-109	Med	🔴 still-present	`ContentAddressedTransaction.cpp:1200-1249` + `Tools/*` + no integration test	tier4
CAS-110	Low	✅ fixed	`DataPartsExchange.cpp:697-704, 944` + `ContentAddressedExchange.h:50, 206-208`	tier4
CAS-002	High (SEC/CORR)	✅ fidelity fixed	`CaCasMountCore.tla:838-852`, `CaErasureProof.tla:12-30,124,209,256-305`, `Pool/CasMountRuntime.cpp:81-142`, `Pool/CasPlainObjects.cpp:38-88`, `ContentAddressedTransaction.cpp:884-902`	tla-fidelity
CAS-030	Med (CORR/SEC)	🟡 partially closed	`CaCasMountCore.tla:22,55,86-99,127,235`; `Pool/CasMountRuntime.cpp:61-85`; residual: `Pool/CasServerRoot.cpp:217,539-…`	tla-fidelity
CAS-205		Info (verified core)	30+ specs under `docs/superpowers/models/` incl. new `CaErasureProof`, `CaDiskLifecycle`, `CaRelinkConfirmCore`, etc.	tla-fidelity
CAS-009	High (latent)	🔴 still-present (worsened: no longer latent, `G_BUILD` moved 1→3)	`Formats/CasFormat.cpp:57-62`; `Formats/CasFormat.cpp:22, 26-48`; `Formats/CasTextFormat.cpp:260-269`; `Pool/CasPoolMeta.cpp:88, 147`	upgrade-compat
CAS-027	High (COMPAT / DATA-LOSS)	🔴 still-present, acknowledged by-design (protobuf gone; JSON tolerant-key skip has the same semantics)	`Formats/CasTextFormat.cpp:245-256`; `Formats/README.md:47-49`	upgrade-compat
CAS-037	Med (INTEGRITY/COMPAT)	✅ fixed — algo pinned in PoolMeta with explicit `allow_new` opt-in	`Formats/CasPoolMetaFormat.h:29-31`; `Pool/CasPoolMeta.cpp:75-102, 144-160`	upgrade-compat
CAS-054	Low-Med (COMPAT)	✅ fixed — `kTokenVersion = "car1"` strict version-tag gate + fixed field count	`ContentAddressedExchange.cpp:11-17, 152-153`	upgrade-compat
CAS-107	Low (COMPAT)	🔴 still-present, scope-reduced (wire codec now explicit BE; only CityHash-across-endianness risk remains)	`Primitives/CasCodecUtil.h:22-45`; `Primitives/CasBlobDigest.h:59, 76-86, 155-179`; `Gc/CasGcShardPlan.h:38-41`	upgrade-compat
CAS-107		Info (COMPAT)	🔴 still-present, harmless — `v` in header stamps `G_BUILD` into hashed bytes	upgrade-compat
CAS-209		Info/by-design	`ContentAddressedExchange.h:140-146`; `Formats/CasFormat.cpp:64-70`	upgrade-compat
CAS-212		Info/Low	`Formats/CasFormat.h:38-68`; `src/Disks/tests/gtest_cas_text_format.cpp:39-58`	upgrade-compat
CAS-020	Med-High	✅ fixed	`Pool/CasPartWriteTxn.cpp:1184–1229` (BUG-1a `allow_repoint` retires old binding); `Parts/PartFolderAccess.cpp:506–534` (`republishRef` rejects different-content dst)	write-protocol
CAS-002	High	🔴 still-present	`Pool/CasPlainObjects.cpp:43,51` (fence-check outside atomic PUT; token=content ETag, not `writer_epoch`)	write-protocol
CAS-008	High	↗ split-out	`Formats/CasRefLogFormat.h:74` (64 MiB removal-class cap still exists; churn-availability piece decoupled via per-ns ref-log + snapshot publish)	write-protocol
CAS-021	Med	🔴 still-present	`ContentAddressedTransaction.cpp:494–513` (serial `publishStaging` + best-effort `dropRefIfMatches`)	write-protocol
CAS-035	Med	🔴 still-present	`Pool/CasRefLedger.cpp:2810–2814` (`dropRef` throws `FILE_DOESNT_EXIST` on absent committed ref); `:2853–2856` (same in `updateRefPublishedAt`)	write-protocol
CAS-038	Med	🔴 still-present	`ContentAddressedTransaction.cpp:1819–1846` (no `fsync`; no re-hash of on-disk bytes before upload)	write-protocol
CAS-039	Med	✅ fixed	`Formats/CasBlobEnvelopeFormat.cpp` (v3 drops `logical_size`; `header_len` derived from `'\n'` position, no overflow surface)	write-protocol
CAS-081	Low	✅ fixed	`Pool/CasPartWriteTxn.cpp:1354–1413` (`abandon` appends precommit-removal, THEN flips `alive`, THEN retires seq; ordering documented at 1407–1412)	write-protocol
CAS-082	Low	🔴 still-present	`Pool/CasRefLedger.cpp:1842–1861` (idempotent no-op tolerated but retried ops still appended to journal)	write-protocol
CAS-083	Med	🔴 still-present	`Pool/CasRefLedger.cpp` `flushRefBatch`/`commitRefChunk` (single-leader per-ns batch model unchanged)	write-protocol
CAS-084	Low	🔴 still-present	zero `abortMultipartUpload` calls under `MetadataStorages/ContentAddressed/**`	write-protocol
CAS-097	Low	📐 by-design	`ContentAddressedTransaction.cpp:466–472` (comment explicitly documents no-rollback for one-shots)	write-protocol
